timestamp_scrape,percentage,location_name,last_count,updated,open_boolean
2023-07-19 19:17:46.087869-04:00,51.428571428571,Marino Center - 2nd Floor,54,2023-07-19 18:57:00,True
2023-07-19 19:17:46.088128-04:00,20.0,Functional Training Area,5,2023-07-19 19:03:00,True
2023-07-19 19:17:46.088373-04:00,100.0,Marino Center - 3rd Floor Weight Room,68,2023-07-19 19:06:00,True
2023-07-19 19:17:46.088957-04:00,100.0,SquashBusters - 4th Floor,70,2023-07-19 19:15:00,True
2023-07-19 19:35:03.354923-04:00,52.380952380952,Marino Center - 2nd Floor,55,2023-07-19 19:28:00,True
2023-07-19 19:35:03.355520-04:00,100.0,Marino Center - 3rd Floor Weight Room,74,2023-07-19 19:29:00,True
2023-07-19 19:50:25.290750-04:00,100.0,SquashBusters - 4th Floor,66,2023-07-19 19:48:00,True
2023-07-19 20:01:25.036071-04:00,56.190476190476,Marino Center - 2nd Floor,59,2023-07-19 19:57:00,True
2023-07-19 20:21:43.262295-04:00,100.0,Marino Center - 3rd Floor Weight Room,65,2023-07-19 20:01:00,True
2023-07-19 20:34:18.110537-04:00,51.428571428571,Marino Center - 2nd Floor,54,2023-07-19 20:28:00,True
2023-07-19 20:34:18.111015-04:00,95.384615384615,Marino Center - 3rd Floor Weight Room,62,2023-07-19 20:30:00,True
2023-07-19 21:52:34.542092-04:00,28.571428571429,Marino Center - 2nd Floor,30,2023-07-19 21:22:00,True
2023-07-19 21:52:34.542508-04:00,49.230769230769,Marino Center - 3rd Floor Weight Room,32,2023-07-19 21:28:00,True
2023-07-19 21:52:34.542872-04:00,48.333333333333,SquashBusters - 4th Floor,29,2023-07-19 21:30:00,True
2023-07-19 22:26:45.993409-04:00,30.47619047619,Marino Center - 2nd Floor,32,2023-07-19 22:24:00,True
2023-07-19 22:26:45.993856-04:00,46.153846153846,Marino Center - 3rd Floor Weight Room,30,2023-07-19 21:58:00,True
2023-07-19 22:43:02.947958-04:00,20.952380952381,Marino Center - 2nd Floor,22,2023-07-19 22:33:00,True
2023-07-19 23:05:34.161024-04:00,19.047619047619,Marino Center - 2nd Floor,20,2023-07-19 23:00:00,True
2023-07-20 05:45:57.813851-04:00,18.333333333333,SquashBusters - 4th Floor,11,2023-07-20 05:45:00,True
2023-07-20 06:04:19.066114-04:00,23.333333333333,SquashBusters - 4th Floor,14,2023-07-20 06:00:00,True
2023-07-20 06:33:53.499241-04:00,38.333333333333,SquashBusters - 4th Floor,23,2023-07-20 06:31:00,True
2023-07-20 07:18:09.566178-04:00,66.666666666667,SquashBusters - 4th Floor,40,2023-07-20 07:14:00,True
2023-07-20 08:10:29.297323-04:00,71.666666666667,SquashBusters - 4th Floor,43,2023-07-20 07:49:00,True
2023-07-20 08:42:29.473977-04:00,45.0,SquashBusters - 4th Floor,27,2023-07-20 08:15:00,True
2023-07-20 08:59:32.638520-04:00,46.666666666667,SquashBusters - 4th Floor,28,2023-07-20 08:48:00,True
